Ligand,Source,SourceID,Affinity,TotalModes,SimScore,SMILES,MW,TPSA,HBD,HBA,RotB,LogP
mol_2693,PubChem,76692664,-7.47,9,22,[H]c1nc2c([H])c([H])c([H])c([H])c2c([C@@]2([H])C([H])([H])N([H])N([H])[C@@]2([H])N([H])[H])c1[H],214.27,62.97,3,4,2,0.71
mol_2596,PubChem,172819415,-7.131,9,44,[H]ON=C(C(=O)[O-])c1c([H])c([H])c([H])c2nc([H])c([H])c([H])c12,215.19,85.61,1,5,3,0.16
mol_1270,PubChem,172841444,-7.037,9,22,[H]ON=C(C(=O)[O-])c1c([H])c([H])c([H])c2c([H])c([H])c([H])nc12,215.19,85.61,1,5,3,0.16
mol_4015,PubChem,89932492,-7.084,9,6,[H]C1=C([H])c2nc([H])c([H])c([H])c2[C@]2(OC(=O)C([H])([H])C2([H])[H])C1=O,215.21,56.26,0,4,0,1.21
mol_4842,PubChem,5382381,-7.238,9,17,[H]ON=C(c1c([H])c([H])c2[n-]c(C([H])([H])[H])c([H])c(=O)c2c1[H])C([H])([H])[H],215.23,63.76,1,3,4,1.66
mol_3355,PubChem,5973025,-7.224,9,22,[H]ON=C(c1c([H])c([H])c2[n-]c(C([H])([H])[H])c([H])c(=O)c2c1[H])C([H])([H])[H],215.23,63.76,1,3,4,1.66
mol_4089,PubChem,139087503,-7.329,9,6,[H]c1c([H])c([H])c2c(c1[H])N([H])[C@@]1([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])C2(C([H])([H])[H])C([H])([H])[H],215.34,12.03,1,1,3,3.8
mol_1175,PubChem,153748388,-7.447,9,11,[H]c1oc2c([H])c([H])c3c(c2c1[H])N([H])[C@@]([H])(C(=O)[O-])C([H])([H])C3([H])[H],216.22,65.3,1,4,1,0.91
mol_412,PubChem,174828221,-7.215,9,17,[H]O[C@]([H])(C(=O)[N-]N([H])[H])c1c([H])c([H])c([H])c2c([H])c([H])c([H])nc12,216.22,90.31,2,4,4,1.04
mol_4679,PubChem,145338074,-7.181,9,0,[H]C1=C([H])[C@]2(c3c([H])c([H])c(C(=O)N([H])[H])c([H])c3N([H])C2([H])[H])C([H])([H])O1,216.24,64.35,2,3,1,0.99
mol_3139,PubChem,134860111,-7.599,9,6,[H]c1c([O-])c(C([H])([H])[H])c2c(c1[H])c(=O)c([H])c(C(=O)[O-])n2[H],217.18,96.05,1,4,2,-0.73
mol_2392,PubChem,66747501,-7.222,9,0,[H]C1=C(N([H])[H])c2c([H])c([H])c([H])c([H])c2N([H])[C@]1(C(=O)[O-])C([H])([H])C([H])([H])[H],217.25,78.18,2,4,4,0.31
mol_3889,PubChem,3522883,-7.023,9,11,[H]C1=[N+]([H])c2nc3c(c([H])c2C(=O)N([H])N1[H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H],217.25,67.99,3,3,0,-1.05
mol_4063,PubChem,22114355,-7.254,9,0,[H]N=C=C(C#N)c1nc2c([H])c([H])c([H])c([H])c2c([H])c1C#N,218.22,84.32,1,4,1,2.26
mol_1557,PubChem,112486118,-7.835,9,11,[H]c1c([H])c2c(c3c1OC([H])([H])C3([H])[H])N([H])[C@@]([H])(C(=O)[O-])C([H])([H])C2([H])[H],218.23,61.39,1,4,1,0.1
mol_1600,PubChem,129781343,-7.108,9,22,[H]c1nc2c(c([H])c1[H])c([H])c([H])c1c3c([H])n[n-]c3c([H])c([H])c21,218.24,39.88,0,2,0,2.89
mol_2806,PubChem,126501297,-7.094,9,6,[H]c1nc2c(c([H])c1[H])c([H])c([H])c1c([H])c([H])c3c([H])c([H])n([H])c3c12,218.26,28.68,1,1,0,3.87
mol_3071,PubChem,117193483,-7.277,9,17,[H]c1c([H])c(C([H])([H])[H])c2c(c1[H])C([H])([H])C([H])([H])[C@@](C(=O)[O-])(C([H])([H])C([H])([H])[H])N2[H],218.28,52.16,1,3,4,1.25
mol_1358,PubChem,156785,-7.51,9,11,[H]C([H])=C1C(=O)O[C@]2(C1([H])[H])[C@@]1([H])C([H])([H])[C@]3([H])C([H])([H])[C@]([H])(C1([H])[H])C([H])([H])[C@@]2([H])C3([H])[H],218.3,26.3,0,2,0,2.68
mol_2254,PubChem,68030518,-7.715,9,0,[H]N1c2c(C([H])([H])[H])c(C([H])([H])[H])c([O-])c(C([H])([H])[H])c2C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],218.32,35.09,1,2,5,2.82
mol_4317,PubChem,54725756,-7.24,9,6,[H]Oc1c([O-])c([H])c([H])c2c(=O)c([H])c(C(=O)[O-])n([H])c12,219.15,116.28,2,5,2,-1.33
mol_2958,PubChem,63376728,-7.02,9,6,[H]c1c(F)c(C([H])([H])[H])c2[n-]c(C(=O)[O-])c([H])c(=O)c2c1[H],219.17,71.3,0,3,2,-0.03
mol_2667,PubChem,58170448,-7.097,9,11,[H]c1n[n-]c(-c2c([H])c([H])nc3c([H])c([H])c(C#N)c([H])c23)c1[H],219.23,63.67,0,3,1,2.13
